id	label	result_type	name	category	description	method_type	method_link	next_node	next_yes	next_no
A0001	A0001	value	OECD TG 492	TASK	RhCE test	in vitro		A0002		
A0002	A0002	bool	Test positive?	LOGICAL	 	 		 	A0003	A0004
A0003	A0003	text	POSITIVE EXIT	END	 	 			 	 
A0004	A0004	bool	Evidence strong enough?	LOGICAL	 	 		 	A0005	A0006
A0005	A0005	text	NEGATIVE EXIT	END						
A0006	A0006	value	QSAR model, expert judgment	TASK	QSAR model, expert judgment	in silico		A0007		 
A0007	A0007	bool	Test positive?	LOGICAL					A0003	A0008
A0008	A0008	value	Combine evidence	TASK		in silico		A0009		
A0009	A0009	bool	Combined evidence strong enough?	LOGICAL	 	 		 	A0005	A0010
A0010	A0010	value	OECD TG 437 438 460 491	TASK	OECD TG 437 438 460 491	in vitro		A0011		
A0011	A0010	text	CONTINUE	END						
