id	label	result_type	name	category	description	method_type	method_link	next_node	next_yes	next_no
A0001	BB001_01	text	Problem formulation	TASK	Enter a description of the problem formulation, which is is aimed at defining the purpose and scope of a risk assessment and the depth of the analysis. Please include the relevant regulation(s) that must be considered if an assessment is required for regulatory purposes. Also include the envisaged exposure scenario(s), the substance definition, etc. Give an indication on the level/uncertainty limits of the desired information. If possible: specify the areas of toxicity (knowledge gap to be filled), the level of need for mechanistic understanding and potential exit points (sufficient information reached)	expert	"- National Research Council. 2009. Science and Decisions: Advancing Risk Assessment. https://nap.nationalacademies.org/read/12209/chapter/1
- US EPA. 2014. Framework for human health risk assessment to inform decision making. https://www.epa.gov/sites/def"	A0002		
A0002	BB002_01	text	Relevant existing data for substance of interest?	TASK	Search for available physicochemical, toxicological, mechanistic and toxicokinetic data about this compound in existing data sources. Compile all available data on exposure levels. Provide a transparent information overview, based on these data.	expert		A0003		
A0003	DP01EF_01	bool	Information sufficient?	LOGICAL	Justify if existing data is sufficient for answering the question posed in the Problem Formulation. If information is considered sufficient (Yes), record the basis for this decision and continue to BB003. If information is considered insufficient, specify the knowledge gaps or remaining uncertainties and continue to DP02EF.	 			A0004	A0005
A0004	BB003_01	value	Derive Point-of-Departure POD	TASK	Compile all data from assays considered to be predictive of hazard. For each assay, determine concentration dependency of the effect, fit a function through the data points and determine the minimum concentration, at which hazard may be triggered (equal BMC or BMCL). Give a rationale why and how this BMC has been chosen. Compile all BMCs and determine which of them is considered most relevant. This one is termed PoD. Give a rationale for the choice and indicate the uncertainty of the decision. Decide (and justify) whether a single PoD is chosen or whether multiple PoD are chosen. In the latter case decide and justify whether the multiple PoD are collapsed to a a single value (plus minus variance) is chosen, or whether work is continued with a distribution function of PoD	expert		Z0001		
A0005	DP02EF_01	bool	Is read-across applicable?	LOGICAL	Consider read-across as alternative approach for addressing the regulatory question(s) at hand. Justify if the application of read-across can answer the question posed in the Problem Formulation.  The ECHA RAAF provides a framework against which such a justification can be structured				A0006	A0008
A0006	WF01_01	text	Perform dedicated workflow for NAM-based read-across  	MODULE	Perform the read-across assessment, using appropriate substances as source.	in silico		A0007		
A0007	DP03EF_01	bool	Information sufficient?	LOGICAL	Does the read-across assessment provide sufficient information to address the regulatory question(s) with a sufficient level of certainty?				A0004	A0008
A0008	BB040_01	text	Identify data gap and testing strategy based on problem formulation	TASK	Consider whether the regulatory question(s) at hand can be addressed using NAMs. If so, outline necessary steps for hazard, ADME and exposure, where appropriate.	expert		A0009		
A0009	DP04EF_01	bool	Is NAM -based testing feasible for the substance of interest?	LOGICAL	"Evaluate if the substance of interest has physico-chemical properties, which would interfere with its testing in the proposed NAMs methods coming from BB040 
"				H0001,B0011,E0002	Z0002
B0001	DP03EF_01	bool	Are ADME properties known?	LOGICAL	"Search for existing ADME data and properties (in vitro to in vivo). Which PBK model is appropriate? Is anything alerting for properties not covered by the httk model, then continue to Include information about the uptake (route specific)/fraction unbound in plasma, metabolism (like clearance in liver), blood to plasma ratio. Search of existing information.
"				B0009,E0004	B0002
B0002	BB004_01	text	Generate basic set of in silico, in vitro kinetic data	TASK	"The type of data is dependent on the route of administration. A tiered approach is followed using in silico predictions and complementing them with in vitro data as far as needed. For oral route this as follows.
Tier 0 - in silico based 
This include info"			E0004,B0003		
B0003	BB005_01	text	Run ht-PBK model	TASK	Decide on PBK model structure. In case that no information is available to guide the decision use an existing high throughput PBK model like Tkplate, Minimal PBK model in Simcyp, htt etc..			B0005,B0009		
B0005	DP07EF_01	bool	Prediction of PBK model acceptable?	LOGICAL	Continue with IVIVE. If not acceptable, then continue to BB006_01				B0010,B0012	B0006
B0006	BB006_01	text	Generate NAM data on additional ADME parameters	TASK	Improve PBK model using more accurate in vitro ADME data e.g. to cover active transport/enzyme induction/inhibition/low clearance compounds. Alternatively improve PBK model by integrating other relevant ADME processes into the model structure like enteroh			B0007,E0010		
B0007	BB007_01	text	Run PBK model	TASK				B0008		
B0008	DP08EF_01	bool	Prediction of PBK model acceptable?	LOGICAL					B0010,B0012	E0012
B0009	BB008_01	text	Derive estimates of relevant test concentrations	TASK	Derive estimates of relevant test concentrations using available information on ADME properties. Use the result for hazard testing. 			H0002		
B0010	BB009_01	text	Refine estimates of relevant test concentrations	TASK				H0010		
B0011	DP05EF_01	bool	Compound mainly cleared by metabolism?	LOGICAL	An assessment of the major clearance mechanism of the compound (metabolism vs renal vs biliary excretion unchanged. Document the (1) criteria that have been considered for the decision; (2) data that have been used; (3) effect thresholds considered relevant; (4) thresholds of certainty required for data used; (5) discussion points and possibly consistency checks that have been important for the decision. With evolution of NAMASTOX, increasing levels of guidance on above points will be incorporated in this decision point.				B0014	B0001
B0012	BB025_01	value	Calculate appropriate hEC	TASK	reminder put it in twice,  after HT-PBK and mechanistic PBK assessment	 		B0013,Z0004		
B0013	BB043_01	value	Translate hEC into external human dose					X0001		
B0014	WF02_01	text	Perform dedicated workflow for metabolites	MODULE	Assess relevance of metabolite formation using the dedicated workflow			B0001,H0001		
E0002	BB020_01	text	Map the uses of the substance	TASK	Describe the possible uses of the substances across different pathways (consumer, diet, occupational, environmental), including a description of available data.	expert		E0003		
E0003	BB021_01	text	Screen possible exposure scenarios	TASK	Screening possible exposure scenarios involves systematically identifying and evaluating situations where individuals or the environment might come into contact with a substance on factors sources/pathways, volume distribution, target population (workers,	expert		E0004		
E0004	BB040_01	text	Prioritize routes of exposure	TASK	Prioritize exposure routes (inhalation, dermal, oral) based on basic set of ADME properties (BB0004). Utilize ADME properties to evaluate the efficiency of absorption for each route and determine which exposure routes are most significant.	expert		E0005		
E0005	BB022_01	value	Estimate highest exposure for relevant routes and sources	TASK	Calculate for each population the highest exposure (worst-case) for relevant source(s) and route(s) using the collected data and absorption efficiency. Considering factors such as frequency and duration. Outcome is the input for high-content in vitro data			E0006		
E0006	BB041_01	text	Prioritize sources of exposure	TASK	"Rank the sources of exposure based on realistic scenario descriptions, such as consumer use patterns or occupational scenarios.
Identify most relevant sources for aggregated exposure "	expert		E0007		
E0007	DP14EF_01	bool	Prediction of exposure estimate acceptable and sufficient quality?	LOGICAL	(Qualitative) Description of the uncertainties of the current exposure assessment, including uncertainty induced by the exposure model used as well as by the input data. 				X0001	E0008
E0008	BB023_01	value	Refinement of aggregate exposure. Deterministic 	TASK	Refinement of the exposure estimate depending on the problem formulation. Iterative process which involves incorporation of new data, improving models and reducing uncertainties. This may involve additional data collection to improve the understanding of 			E0009		
E0009	DP17EF_01	bool	Prediction of exposure estimate acceptable?	LOGICAL					X0001	E0010
E0010	BB024_01	value	Refinement of aggregate exposure. Deterministic or probabilistic	TASK	Refinement of the estimate depending on the problem formulation, such as realistic scenarios for the population of interest and refined timing of exposure. Refine the exposure assessment using NAM data on additional ADME parameters such as bioaccumulation	expert		E0011		
E0011	DP18EF_01	bool	Prediction of exposure estimate acceptable?	LOGICAL	An exposure assessment is considered sufficient when it comprehensively and accurately describes the conditions under which aggregate exposure to a substance occurs. This includes detailed information on the sources, pathways, routes, frequency, duration,				X0001	E0012
E0012	BB029_01	value	Consider other relevant types of testing or exposure measurements	TASK	Consider exposure measurements (external or internal), or other ADME testing. ML: here the purpose of doing other things shold be given. Ideally give a definition how you define that this OTHER method has provided the desired information			Z0005		
H0001	BB010_01	text	Generate toxicologically-relevant in silico predictions	TASK	(1) Use QSAR models (and other available computational methods) for predictions of relevant bioactivity (e.g. toxicological targets), of toxicological endpoints (e.g. genotoxicity) or of events that may be associated to AOP (MIE, KE, AO). (2) Document the			H0002,H0003		
H0002	BB011_02	text	Identify bioactivity	TASK	"(1) Use an assembly of assays with a broad biological coverage. Ideally, all potential bioactivities that may lead to adverse reactions should be captured.
(2) The concentration range of the assays should be chosen and account for the potential exposure s"			H0005,H0003		
H0003	DP09EF_01	bool	Is there a reason to enter a module for testing of specific toxicological endpoints outside core ASPA focus?	LOGICAL	Check whether there is information (relevant and significant) that indicates a potential of the test chemical to trigger certain specific toxicological endpoints that are not at the core of the ASPA workflow (e.g. skin sensitization, genotoxicity, topical				H0004	H0005
H0004	WF03_01		Module for specific endpoints like acute topical toxicity or genotoxicity	MODULE	Perform relevant Defined Approaches based and/or dedicated tests to confirm or characterize alert(s)			Z0002		
H0005	BB012_01	text	In vitro biokinetics	TASK	Determine distribution of test item within cell culture dishes used e.g. in BB011. The main focus shold be on the method  that is chosen for the most relevant PoD, but data may be generated for several methods. Data generation should be default use the Ce			H0006		
H0006	BB013_01	text	Integration of initial hazard and bioactivity data	TASK	"Integrate the in silico and in vitro predictions (BB010-012).
Analyze and integrate the results obtained in previous steps"			H0007		
H0007	BB014_01	text	Derive Point-of-Departure estimates	TASK	Derive estimates of Point-of-Departure (POD). 			H0008		
H0008	DP10EF_01	bool	Refinement of POD needed, given problem formulation?	LOGICAL	Consider whether the confidence in the POD estimates is sufficient for the problem formulation at hand. Determine if the data obtained and generated combined provides sufficient scientific justification to support a clear Mode of action and whether this i				H0009	Z0003
H0009	DP11EF_01	bool	Specific toxicological alerts identified? AOPs triggered? 	LOGICAL	Are any specific toxicological alerts identified? Are any alerts for perturbation of AOPs identified? If so, at what dose? Is this dose meaningful?				H0010	H0011
H0010	BB015_01	text	Generate medium-throughput in vitro toxicity data e.g., for relevant qAOPs or Defined Approaches	TASK	This is a box that stands for a complex subroutine. The choice of NAM and the type of subroutine depends on the problem formulaton and the data generated in more upstream parts. For some narrowly defined problem formulations, more defined subroutines can 			H0012		
H0011	BB018_01	text	Generate medium-throughput in vitro toxicity data	TASK	Not clear what BB015 and BB018 exactly mean			H0012		
H0012	BB016_01	text	In vitro biokinetics	TASK	Not clear what is the difference between BB012 and BB016			H0013		
H0013	BB017_01	text	Integration of results	TASK	Integrate the results from more complex in vitro tests (BB015 and BB016).			H0014		
H0014	BB041_01	text	Derive refined point of departure	TASK				H0015		
H0015	DP12EF_01	bool	PoD sufficiently refined? Confidence in PoD increased?	LOGICAL	Did the results obtained from more complex in vitro tests result in sufficient refinement of the POD and its associated level of uncertainty?				B0012	H0016
H0016	BB019_01	text	Explore other types of NAMs to reduce uncertainty and refine POD	TASK	This needs more specification with time. It is defined e.g. as hit follow-up strategy or as part of the description of high-quality AOP (they also specify the respective NAM (and alternative NAM) to assess KE). Some of the information required needs to be			H0015		
X0001	BB026_01	text	Compare hazard and exposure reference values	TASK	"Also feedback loop missing if ""no"".  Consider aspects for improvement and reenter into ASPA workflow"	expert		X0002		
X0002	DP19EF_01	bool	Is margin of exposure sufficient	LOGICAL					Z0004	Z0006
Z0001	REPORT_01	text	Report	END	Exit the ASPA workflow. Where applicable, integrate results with other assessments.					
Z0002	REPORT_02	text	Report	END	Exit the ASPA workflow. Where applicable, integrate results with other assessments.					
Z0003	REPORT_03	text	Report	END	Exit the ASPA workflow. Where applicable, integrate results with other assessments.					
Z0004	REPORT_04	text	Report	END	Exit the ASPA workflow. Where applicable, integrate results with other assessments.					
Z0005	REPORT_05	text	Report	END	Exit the ASPA workflow. Where applicable, integrate results with other assessments.					
Z0006	REPORT_06	text	Report	END	Consider aspect for improvement and reenter into ASPA workflow					
