id	label	result_type	name	category	description	method_type	method_link	next_node	next_yes	next_no
A0001	BB001_01	text	Problem formulation A1	TASK	Enter a description of the problem formulation, which is is aimed at defining the purpose and scope of a risk assessment and the depth of the analysis. Please include the relevant regulation(s) that must be considered if an assessment is required for regulatory purposes. Also include the envisaged exposure scenario(s), the substance definition, etc. Give an indication on the level/uncertainty limits of the desired information. If possible: specify the areas of toxicity (knowledge gap to be filled), the level of need for mechanistic understanding and potential exit points (sufficient information reached) 	expert	"- National Research Council. 2009. Science and Decisions: Advancing Risk Assessment. https://nap.nationalacademies.org/read/12209/chapter/1
- US EPA. 2014. Framework for human health risk assessment to inform decision making. https://www.epa.gov/sites/def"	A0002		
A0002	BB002_01	text	Relevant existing data for substance of interest?	TASK	Search for available physicochemical, toxicological, mechanistic and toxicokinetic data about this compound in existing data sources. Compile all available data on exposure levels. Provide a transparent information overview, based on these data.	expert		A0003		
A0003	DP01EF_01	bool	Information sufficient?	LOGICAL	Justify if existing data is sufficient for answering the question posed in the Problem Formulation. If information is considered sufficient (Yes), record the basis for this decision. If information is considered insufficient, specify the knowledge gaps or remaining uncertainties.	 			A0004	A0005
A0004	BB003_01	value	Derive Point-of-Departure POD	TASK	Compile all data from assays considered to be predictive of hazard. For each assay, determine concentration dependency of the effect, fit a function through the data points and determine the minimum concentration, at which hazard may be triggered (BMC or BMCL). Give a rationale why and how this BMC has been chosen. Compile all BMCs and determine which of them is considered most relevant. This one is termed PoD. Give a rationale for the choice and indicate the uncertainty of the decision. Decide (and justify) whether a single PoD is chosen or whether multiple PoD are chosen. In the latter case decide and justify whether the multiple PoD are collapsed to a single value (variance) is chosen, or whether work is continued with a distribution function of PoD.	expert		Z0001		
Z0001	REPORT_01	text	Report	END						
A0005	DP02EF_01	bool	Is read-across applicable?	LOGICAL	Consider read-across as alternative approach for addressing the regulatory question(s) at hand. Justify in the application of read-accross can answer the question posed in the Problem Formulation.				A0006	A0008
A0006	WF01_01	text	Perform dedicated workflow for NAM-based read-across  	TASK	Make use of existing data (in vivo, in vitro, etc.) to carry out read-across, using grouping or analogue approaches. Depending on the regulatory context the following guidelines could be useful (it).	in silico		A0007		
A0007	DP03EF_01	bool	Information sufficient?	LOGICAL	Justify if existing data is sufficient for answering the question posed in the Problem Formulation. If information is considered sufficient (Yes), record the basis for this decision. If information is considered insufficient, specify the knowledge gaps or remaining uncertainties.				A0004	A0008
A0008	BB040_01	text	Identify data gap and testing strategy based on problem formulation	TASK	Consider whether the regulatory question(s) at hand can be addressed using NAMs. If so, outline necessary steps for hazard, ADME and exposure, where appropriate.	expert		A0009		
A0009	DP04EF_01	bool	Is NAM -based testing feasible for the substance of interest	LOGICAL	"Evaluate if the substance of interest has physico-chemical properties, which would interfere with its testing in the proposed NAMs methods coming from BB040 
"				Z0002	H0001,B0011,E0001
Z0002	REPORT_02	text	Report	END						
H0001	BB008_01	value	Generate in silico predictions of hazard	TASK	Generate QSAR predictions for relevant bioactivity (e.g. AOP MIE or other KEs) and hazard (AOP AO). Use the query compound as input for a panel of QSAR models (e.g. collected at DTU). Ideally use various panels/tools.	in silico	local_models	H0002,H0004		
H0002	BB009_01	value	Generate high-throughput in vitro data	TASK	Use an assembly of assays that broadly characterize bioactivity of the compound at question over a large concentration range. Example for such assays (RH3R version of ASPA) are stress reporter assays, luciferase signal transduction assays, cytotoxicity assays in 3 cell lines (proliferating HepG2, LUHMES, RPTEC), and a transcriptomic assay in HepG2 cells. [Possibly expand the battery by an assay for AChE activity, a MEA assay and a metabolic activation assay (PHH)]. Determine concentration ranges with no effect, potentially specific effects, and of general cytotoxicity. Use various routines to identify relevant modes of action (for toxicity), based on bioactivity data.	in vitro		H0003		
H0003	BB010_01	text	Integration of results	TASK	Analyze and integrate the results obtained in previous steps.	expert		H0009		
H0004	DP06EF_01	bool	Alert for genotoxicity, eye irritation, skin irritation or sensitization?	LOGICAL	"Did in silico or in vitro NAMs predict any alert for genotoxicity, eye irritation, skin irritation and/or skin sensitization? If so, dedicated approaches are needed to confirm and characterize these alerts.
Justify if existing data is sufficient for answering the question posed in the Problem Formulation."				H0005	H0002
H0005	BB011_01	text	Defined approaches and/or dedicated tests to confirm or characterize alert	TASK	Defined approaches and/or dedicated tests to confirm or characterize alert.	in vitro		H0006		
H0006	BB012_01	text	Integration of results	TASK	Analyze and integrate the results obtained in previous steps.	expert		H0007		
H0007	DP07EF_01	bool	Information sufficient?	LOGICAL	Justify if existing data is sufficient for answering the question posed in the Problem Formulation. If information is considered sufficient (Yes), record the basis for this decision. If information is considered insufficient, specify the knowledge gaps or remaining uncertainties.				H0003	H0008
H0008	BB013_01	value	Perform dedicated tests for data gap filling	TASK	Perform dedicated tests for data gap filling.	in vitro		H0003		
H0009	DP08EF_01	bool	Toxicological alters identified? AOPs triggered?	LOGICAL	Are any specific toxicological alerts identified? Are any alerts for perturbation of AOPs identified? If so, at what dose? Is this dose meaningful?				H0010	H0011
H0010	DP09EF_01	bool	Information sufficient?	LOGICAL	Justify if existing data is sufficient for answering the question posed in the Problem Formulation. If information is considered sufficient (Yes), record the basis for this decision. If information is considered insufficient (No), specify the knowledge gaps or remaining uncertainties.				H0014	H0011
H0011	BB015_01	value	Generate medium-throughput in vitro toxicity data e.g., for relevant qAOPs or Defined Approaches	TASK	This is a box that stands for a complex subroutine. The choice of NAM and the type of subroutine depends on the problem formulation and the data generated in more upstream parts. For some narrowly defined problem formulations, more defined subroutines can be constructed. For instance, if the problem formulation is about DNT, then this subroutine would include testing in teh DNT-IVB, as defined by teh OECD (GD377). If the problem formulation asks about clarification of potential renal toxicity, then models of respective cell types with overexpression of relevant transporters may be used, in combination with organoid approaches or organ-on-a-chip setups that connect e.g. kidney and liver tissues.	in vitro		H0012		
H0012	BB016_01	text	Integration of results	TASK	Analyze and integrate the results obtained in previous steps.	expert		H0013		
