id	label	result_type	name	category	description	proposed_approach	guidance	method_type	method_link	next_node	next_yes	next_no
A0001	BB001_01	text	Problem formulation	TASK	Enter a description of the problem formulation, which is is aimed at defining the purpose and scope of a risk assessment and the depth of the analysis. Please include the relevant regulation(s) that must be considered if an assessment is required for regulatory purposes. Also include the envisaged exposure scenario(s), the substance definition, etc. Give an indication on the level/uncertainty limits of the desired information. If possible: specify the areas of toxicity (knowledge gap to be filled), the level of need for mechanistic understanding and potential exit points (sufficient information reached)			expert	"- National Research Council. 2009. Science and Decisions: Advancing Risk Assessment. https://nap.nationalacademies.org/read/12209/chapter/1
- US EPA. 2014. Framework for human health risk assessment to inform decision making. https://www.epa.gov/sites/def"	A0002		
A0002	BB002_01	text	Relevant existing data for substance of interest?	TASK	Search for available physicochemical, toxicological, mechanistic and toxicokinetic data about this compound in existing data sources. Compile all available data on exposure levels. Provide a transparent information overview, based on these data.			expert		A0003		
A0003	DP01EF_01	bool	Information sufficient?	LOGICAL	Justify if existing data is sufficient for answering the question posed in the Problem Formulation. If information is considered sufficient (Yes), record the basis for this decision and continue to BB003. If information is considered insufficient, specify the knowledge gaps or remaining uncertainties and continue to DP02EF.			 			A0004	A0005
A0004	BB003_01	value	Derive Point-of-Departure POD	TASK	Compile all data from assays considered to be predictive of hazard. For each assay, determine concentration dependency of the effect, fit a function through the data points and determine the minimum concentration, at which hazard may be triggered (equal BMC or BMCL). Give a rationale why and how this BMC has been chosen. Compile all BMCs and determine which of them is considered most relevant. This one is termed PoD. Give a rationale for the choice and indicate the uncertainty of the decision. Decide (and justify) whether a single PoD is chosen or whether multiple PoD are chosen. In the latter case decide and justify whether the multiple PoD are collapsed to a a single value (plus minus variance) is chosen, or whether work is continued with a distribution function of PoD			expert		Z0001		
A0005	DP02EF_01	bool	Is read-across applicable?	LOGICAL	Consider read-across as alternative approach for addressing the regulatory question(s) at hand. Justify if the application of read-across can answer the question posed in the Problem Formulation.  The ECHA RAAF provides a framework against which such a justification can be structured						A0006	A0008
A0006	WF01_01	text	Perform dedicated workflow for NAM-based read-across  	MODULE	Perform the read-across assessment, using appropriate substances as source.			in silico		A0007		
A0007	DP03EF_01	bool	Information sufficient?	LOGICAL	Does the read-across assessment provide sufficient information to address the regulatory question(s) with a sufficient level of certainty?						A0004	A0008
A0008	BB040_01	text	Identify data gap and testing strategy based on problem formulation	TASK	Consider whether the regulatory question(s) at hand can be addressed using NAMs. If so, outline necessary steps for hazard, ADME and exposure, where appropriate.			expert		A0009		
A0009	DP04EF_01	bool	Is NAM -based testing feasible for the substance of interest?	LOGICAL	"Evaluate if the substance of interest has physico-chemical properties, which would interfere with its testing in the proposed NAMs methods coming from BB040 
"						H0001,B0011,E0002	Z0007
B0001	DP03EF_01	bool	Are ADME properties known?	LOGICAL	"Search for existing ADME data and properties (in vitro to in vivo). Which PBK model is appropriate? Is anything alerting for properties not covered by the httk model, then continue to Include information about the uptake (route specific)/fraction unbound in plasma, metabolism (like clearance in liver), blood to plasma ratio. Search of existing information.
"						B0009,E0004	B0002
B0002	BB004_01	text	Generate basic set of in silico, in vitro kinetic data	TASK	"The type of data is dependent on the route of administration. A tiered approach is followed using in silico predictions and complementing them with in vitro data as far as needed. For oral route this as follows.
Tier 0 - in silico based 
This include info"					E0004,B0003		
B0003	BB005_01	text	Run ht-PBK model	TASK	Decide on PBK model structure. In case that no information is available to guide the decision use an existing high throughput PBK model like Tkplate, Minimal PBK model in Simcyp, htt etc..					B0005,B0009		
B0005	DP07EF_01	bool	Prediction of PBK model acceptable?	LOGICAL	Continue with IVIVE. If not acceptable, then continue to BB006_01						B0010,B0012	B0006
B0006	BB006_01	text	Generate NAM data on additional ADME parameters	TASK	Improve PBK model using more accurate in vitro ADME data e.g. to cover active transport/enzyme induction/inhibition/low clearance compounds. Alternatively improve PBK model by integrating other relevant ADME processes into the model structure like enteroh					B0007,E0010		
B0007	BB007_01	text	Run PBK model	TASK						B0008		
B0008	DP08EF_01	bool	Prediction of PBK model acceptable?	LOGICAL							B0010,B0012	E0012
B0009	BB008_01	text	Derive estimates of relevant test concentrations	TASK	Derive estimates of relevant test concentrations using available information on ADME properties. Use the result for hazard testing. 					H0002		
B0010	BB009_01	text	Refine estimates of relevant test concentrations	TASK						H0010		
B0011	DP05EF_01	bool	Compound mainly cleared by metabolism?	LOGICAL	An assessment of the major clearance mechanism of the compound (metabolism vs renal vs biliary excretion unchanged. Document the (1) criteria that have been considered for the decision; (2) data that have been used; (3) effect thresholds considered relevant; (4) thresholds of certainty required for data used; (5) discussion points and possibly consistency checks that have been important for the decision. With evolution of NAMASTOX, increasing levels of guidance on above points will be incorporated in this decision point.						B0014	B0001
B0012	BB025_01	value	Calculate appropriate hEC	TASK	reminder put it in twice,  after HT-PBK and mechanistic PBK assessment			 		B0013,Z0004		
B0013	BB043_01	value	Translate hEC into external human dose	TASK						X0001		
B0014	WF02_01	text	Perform dedicated workflow for metabolites	MODULE	Assess relevance of metabolite formation using the dedicated workflow					B0001,H0001		
E0002	BB020_01	text	Map the uses of the substance	TASK	Describe the possible uses of the substances across different pathways (consumer, diet, occupational, environmental), including a description of available data.			expert		E0003		
E0003	BB021_01	text	Screen possible exposure scenarios	TASK	Screening possible exposure scenarios involves systematically identifying and evaluating situations where individuals or the environment might come into contact with a substance on factors sources/pathways, volume distribution, target population (workers,			expert		E0004		
E0004	BB040_01	text	Prioritize routes of exposure	TASK	Prioritize exposure routes (inhalation, dermal, oral) based on basic set of ADME properties (BB0004). Utilize ADME properties to evaluate the efficiency of absorption for each route and determine which exposure routes are most significant.			expert		E0005		
E0005	BB022_01	value	Estimate highest exposure for relevant routes and sources	TASK	Calculate for each population the highest exposure (worst-case) for relevant source(s) and route(s) using the collected data and absorption efficiency. Considering factors such as frequency and duration. Outcome is the input for high-content in vitro data					E0006		
E0006	BB041_01	text	Prioritize sources of exposure	TASK	"Rank the sources of exposure based on realistic scenario descriptions, such as consumer use patterns or occupational scenarios.
Identify most relevant sources for aggregated exposure "			expert		E0007		
E0007	DP14EF_01	bool	Prediction of exposure estimate acceptable and sufficient quality?	LOGICAL	(Qualitative) Description of the uncertainties of the current exposure assessment, including uncertainty induced by the exposure model used as well as by the input data. 						X0001	E0008
E0008	BB023_01	value	Refinement of aggregate exposure. Deterministic 	TASK	Refinement of the exposure estimate depending on the problem formulation. Iterative process which involves incorporation of new data, improving models and reducing uncertainties. This may involve additional data collection to improve the understanding of 					E0009		
E0009	DP17EF_01	bool	Prediction of exposure estimate acceptable?	LOGICAL							X0001	E0010
E0010	BB024_01	value	Refinement of aggregate exposure. Deterministic or probabilistic	TASK	Refinement of the estimate depending on the problem formulation, such as realistic scenarios for the population of interest and refined timing of exposure. Refine the exposure assessment using NAM data on additional ADME parameters such as bioaccumulation			expert		E0011		
E0011	DP18EF_01	bool	Prediction of exposure estimate acceptable?	LOGICAL	An exposure assessment is considered sufficient when it comprehensively and accurately describes the conditions under which aggregate exposure to a substance occurs. This includes detailed information on the sources, pathways, routes, frequency, duration,						X0001	E0012
E0012	BB029_01	value	Consider other relevant types of testing or exposure measurements	TASK	Consider exposure measurements (external or internal), or other ADME testing. ML: here the purpose of doing other things shold be given. Ideally give a definition how you define that this OTHER method has provided the desired information					Z0005		
H0001	BB010_01	text	Generate toxicologically-relevant in silico predictions	TASK	(1) Use QSAR models (and other available computational methods) for predictions of relevant bioactivity (e.g. toxicological targets), of toxicological endpoints (e.g. genotoxicity) or of events that may be associated to AOP (MIE, KE, AO). (2) Document the	Use the query compound as input for a panel of computational models (e.g. collected at DTU). Ideally use multiple panels/tools.  The reason for using these panels tools should be justified, based on relevance for the problem formulation and an ability to determine the confidence in the model and thus its applicability for the compound of interest. Such panels of models could include Danish QSAR database, OECD toolbox, as opensource systems, Vegahub as well as commecrical options. Use of multiple models may strengthen the weight of evidence or quality of the prediction. If using multiple models for an endpoint define upfront how these will be combined and interpreted. eg consensus, majority etc.	Results from the model(s) predictions(s)l should align to the base requirements as laid out by the OCED Model prediction reporting template https://one.oecd.org/document/ENV/CBC/MONO(2023)32/ANN2/en/pdf.  Key considerations should include relevant information that supports or justifies the interpretation of the result.  Whether it is categorical active/ in active and inform on how the uncertainty related to the model prediction is defined, - is it quantitative or qualitative, whether the alert is present/ how often/ is the compound within the applicability domain. Final output should summarise findings -justify why findings maybe disregarded due to low confidence and the keys findings that will be addressed and/or followed up in subsequent NAMs relevant to the endpoint defined for the problem formulation. Large data sets may be generated (hundreds or thousands of models). They are difficult to interpret as such. Interpretation becomes more robust, if additional generation is provided on model reliability, or applicability domain and on overlap of results from different models. Some models may also provide more explanatory output. All such information is beneficial for ranking and next steps. A transparent display is important/mandatory; naked excel files with loads of abbreviations are of little use.			H0002,H0003		
H0002	BB011_02	text	Identify bioactivity	TASK	Conduct an in vitro screen using high-throughput assays to identify and characterise the compounds MoA and/or dose response for the relevant endpoint(s) related to the problem formulation and any prior knowledge or from in silico models. <br>The assays including data processing should meet a defined criteria for applicability domain, concentration range and biological coverage as well as technical robustness, to ensure a low probability of missing bioactivity that could cause adverse effects. 	 Use an assembly of independent assays that broadly characterize bioactivity of the compound being assessed over a sufficient concentration range relevant to the problem formulation or justify a selective assay set based on knowledge of defined MoAs. Concentration range of the assays should be chosen and account for the potential exposure scenario, and cover determination of no effect levels as well as a clear justification for the top dose chosen based on either a multiple of predicted cMAX (30x), solubility or cytotoxicity limits. The compound under consideration should fit within the defined applicability domains of the assays utilised.  Assays can be from commercial or other sources and should be performed to an available standard operating procedure (SOPs, ToxTemp, OECD GD) including results from defined positive and negative controls to ensure assay performance can be evaluated.  Document the outputs from the assays, including an evaluation of data quality, providing overall result classification. Justification of how the assays address metabolic relevance should be addressed.  For quantitative POD determination values, provision of reproducibility data or estimation of variability (Eg BMDU/L or SD) in should be available as well as raw data and graphs showing curve fits. Include the data interpretation method for 1) how a quantitative POD analysis has been performed or 2) how a positive/negative classification has been defined as well as the software used.  Incorporate reasoning for use of software, and version and how the POD relates to the activity for example AC50/AC20 values BMD/ BMDL value. Examples for such assays include but are not limited to broad non targeted coverage - Cell Painting and high throughput transcriptomics (HTTr), cytotoxicity and stress reporter assays including ToxTracker, where as assays related to more specific MIEs include for example receptor/protein binding assays such as Calux binding assays or functional assays such as LHUMES dendrite outgrowth test.    				H0005,H0003		
H0003	DP09EF_01	bool	Is there a reason to enter a module for testing of specific toxicological endpoints outside core ASPA focus?	LOGICAL	Check whether there is information (relevant and significant) that indicates a potential of the test chemical to trigger certain specific toxicological endpoints that are not at the core of the ASPA workflow (e.g. skin sensitization, genotoxicity, topical	"Consider for this DP, what is relevant in the context of the problem formulation. If there is an alert for skin irritation, but this is not relevant for the problem formulation, then the answer should be ""No"". Genotoxicity alerts can take a special role, as they may lead to a termination of the ASPA, and to a change of information requirements.  Evaluate the strength of the alert (in most cases based on QSAR models, possibly also based on experimental gene expression data, or based on legacy data). Decide on whether the alert is significant enough to enter specific downstream modules for confirmation."	Document the (1) criteria that have been considered for the decision; (2) data that have been used; (3) effect thresholds considered relevant; (4) thresholds of certainty required for data used; (5) discussion points and possibly consistency checks that have been important for the decision. With evolution of NAMASTOX, increasing levels of guidance on above points will be incorporated in this decision point.				H0004	H0005
H0004	WF03_01		Module for specific endpoints like acute topical toxicity or genotoxicity	MODULE	Perform relevant Defined Approaches based and/or dedicated tests to confirm or characterize alert(s)		There are OECD-recognized NAM-based approaches that may be used. The focus of ASPA is presently not on these toxicity endpoints			Z0002		
H0005	BB012_01	text	In vitro biokinetics	TASK	Determine distribution of test item within cell culture dishes used e.g. in BB011. The main focus shold be on the method  that is chosen for the most relevant PoD, but data may be generated for several methods. Data generation should be default use the Ce	Justify if modelling is required based on the physchem characterisitics of the compound or whether a worst case scenaro would be sufficient. If required document how this response effects the POD determinations from the in vitro data and what  a new predicted value used for subsequent steps would be.				H0006		
