id	label	result_type	name	category	description	method_type	input	output	next_node	next_yes	next_no	guidance	comments
A0001	OP001_01	text	Problem Formulation	OPERATOR	Enter the problem formulation by defining the purpose and scope of the hazard/risk assessment and listing the relevant regulations, where applicable.	Define the purpose and scope of the hazard/risk assessment and the required granularity of the analysis. List the relevant regulation(s) that must be considered in case the assessment is intended for regulatory purposes. Also include the substance definition, the envisaged exposure scenario(s), and the target population(s). Specify the areas of toxicity of concern (knowledge gap to be filled), and give an indication of the level of uncertainty that is considered acceptable. If possible/applicable: specify the level of need for mechanistic understanding and potential exit points (when is information considered sufficient).		Clear description of the (regulatory) questions that need to be addressed, the regulations that apply, the main route(s) of exposure, and the target population(s) as well as the data gap to be filled.	A0002				
A0002	BB002_01	text	Relevant existing data for substance of interest?	TASK	Search for available physicochemical, toxicological, toxicokinetic and mechanistic data about the substance of interest as well as data on exposure levels relevant for the target population.	Search for available physicochemical, toxicological, toxicokinetic and mechanistic data about the substance of interest in existing data sources. Compile all available data on exposure levels that are relevant for the target population (as defined in the problem formulation). Carefully review the quality of all data collected. Provide a transparent information overview of the data collected.			A0003				
A0003	DP01EF_01	bool	Information sufficient?	LOGICAL	Justify if the data collected is sufficient for addressing the questions posed in the problem formulation. If information is considered sufficient (Yes), record the basis for this decision and continue to OP003. If information is considered insufficient, specify the knowledge gaps and/or remaining uncertainties and continue to DP26EF.	Document (1) the criteria that have been considered for the decision; (2) the data that have been used; (3) effect thresholds that are considered relevant given the problem formulation; (4) thresholds of certainty required for the data used; (5) discussion points and possibly consistency checks that were important for the decision.				A0004	A0006		
A0004	OP003_01	text	Derive Point-of-Departure 	OPERATOR	Compile all data from assays considered to be predictive of hazard, determine concentration dependency of the effect for each assay, and determine, preferably using benchmark concentration (BMC) analysis, the minimum concentration at which hazard may be triggered. Compile all BMCs and determine which of them is considered most relevant. This one is termed point of departure (PoD). Decide (and justify) whether a single PoD or multiple PoDs are applicable.	Compile all data from assays considered to be predictive of hazard and determine for each assay the concentration dependency of the effect measured. Fit a function through the data points, preferably using benchmark concentration analysis, and determine the minimum concentration (BMC or BMCL) at which hazard may be triggered. Carefully consider the benchmark response (critical effect size) to be used. Give a rationale why and how the BMC(L) was chosen. Compile all BMCs and determine which of them is considered most relevant. This one is termed point of departure (PoD). Give a rationale for the choice made and indicate the uncertainty of the decision. Decide and justify whether a single PoD or multiple PoDs were chosen. In the latter case decide and justify whether the multiple PoDs are collapsed to a a single value (+/- variance), or whether work is continued with a distribution function of PoD.			A0005				
A0005	REPORT_01	text	Report	END	Create a report of the assessment. Where applicable, integrate results with other assessments.	Create a report of the assessment in line with the requirements of the relevant regulations.				 	 	EFSA Guidance on the use of TTC in food safety assessment: https://doi.org/10.2903/j.efsa.2019.5708	
A0006	DP26EF_01	bool	Is TTC applicable?	LOGICAL	Determine whether the TTC (Threshold of Toxicological Concern) can be applied.	The TTC approach can be used when the chemical structure of the substance is known, there are limited chemical?specific toxicity data and the exposure can be estimated. Determine whether the substance of interest belongs to any of the exclusion categories.				A0007	A0010		
A0007	BB035_01	text	Perform TTC approach	TASK	Perform the TTC approach conform the TTC decision tree and appropriate guidance and apply the relevant TTC value.	Estimate the exposure for the substance of interest, determine whether the substance of interest has the potential to be a DNA?reactive mutagens and/or carcinogen, or an organophosphate or carbamate. If not, group the substance according to the Cramer classification. Apply the respective TTC value. 			A0008	 	 		
A0008	DP27EF_01	bool	Is exposure estimate < TTC?	LOGICAL	Determine whether the estimated exposure for the substance of interest is below the relevant TTC value.	Compare the exposure estimate with the relevant TTC value and detemine whether the exposure is below the TTC value.				A0009	A0010		
A0009	REPORT_04	text	Report	END	Create a report of the assessment. Where applicable, integrate results with other assessments.	Create a report of the assessment in line with the requirements of the relevant regulations.				 	 		
A0010	DP02EF_01	bool	Is read-across applicable?	LOGICAL	Consider using read-across for addressing the regulatory question(s) at hand. Justify how the application of read-across can address the question(s) posed in the problem formulation.  	(1) Document the pre acceptance criteria for the substances that have been considered for the decision; (2) Define the appropriate scenario for the read across analogue or category; (3) Describe the data that have been used; (4) Define effect thresholds considered relevant; (5) Define thresholds of certainty required for data used; (6) Describe discussion points and possibly consistency checks that have been important for the decision.				A0011	A0014	Make use of ECHA's Read Across Assessment Framework (RAAF) to check the robustness of your read-across adaptation: https://echa.europa.eu/documents/10162/13628/raaf_en.pdf/614e5d61-891d-4154-8a47-87efebd1851a	
A0011	WF01_01		Perform dedicated workflow for (NAM-based) read-across 	MODULE	Perform the read-across assessment, using appropriate substances as source.	Assess biological similarity using NAMs, e.g. as described in Escher et al. 2022 (10.1016/j.tiv.2021.105269)			A0012	 	 		
A0012	DP03EF_01 	bool	Information sufficient?	LOGICAL	Does the read-across assessment provide sufficient information to address the regulatory question(s) with a sufficient level of certainty?	Carefully review the robustness of the read-across assessment, including gaps and inconsistencies. Determine whether the level of uncertainty obtained is considered acceptable for the problem formulation at hand.				A0004	A0013		
A0013	OP004_01	text	Identify data gap and define testing strategy based on problem formulation	OPERATOR	Consider whether the regulatory question(s) at hand can be addressed using NAMs. If so, outline necessary steps for hazard, ADME and exposure, where appropriate.  	Carefully consider the problem formulation. Consider if and how NAM-based information and/or data can fill data gaps. Select relevant NAMs for the data gaps to be filled and, where applicable, define the order or priorities in data generation.			A0014	 	 		
A0014	BB030_01	text	Characterise the substance for selecting appropriate NAMs	TASK	Characterise the phyisco-chemical properties of the substance of interest to define which NAMs are appropriate for testing.	Characterise the phyisco-chemical properties of the test substance to select appropriate NAMs. Collect info for and/or test for properties that impact on the selection of NAMs, such as stability of the substance in medium, its binding to plastic, volatility of the substance, water solubility, pKa, corrosiveness, etc.			A0015	 	 		
A0015	DP04EF_01	bool	Is NAM -based testing feasible for the substance of interest	LOGICAL	"Evaluate if the substance of interest has physico-chemical or other properties, which would interfere with its testing in NAMs proposed in OP004 
"	Document (1) the criteria that have been considered for the decision; (2) the data that have been used.		Define experimental conditions based on substance properties		H0001,B0001,E0001	 E0001,A0016		
A0016	REPORT_02	text	Report	END	Create a report of the assessment. Where applicable, integrate results with other assessments.					 			
H0001	BB010_01	text	Generate toxicologically-relevant in silico predictions of hazard	TASK	(1) Use QSAR models (and other available computational methods) for predictions of relevant bioactivity (e.g. toxicological targets), of toxicological endpoints (e.g. genotoxicity) or of events that may be associated to AOP (MIE, KE, AO). (2) Document the model, its prediction, the strength of predicition (or uncertainty), if possible the potency range, and performance parameters of the model.	Use the query compound as input for a panel of computational models (e.g. collected at DTU). Ideally use multiple panels/tools.  The reason for using these panels tools should be justified, based on relevance for the problem formulation and an ability to determine the confidence in the model and thus its applicability for the compound of interest. Such panels of models could include Danish QSAR database, OECD toolbox, as opensource systems, Vegahub as well as commecrical options. Use of multiple models may strengthen the weight of evidence or quality of the prediction. If using multiple models for an endpoint define upfront how these will be combined and interpreted. eg consensus, majority etc.	 (AW - input for guidance - that can be extended by Eva and team) Results from the model(s) predictions(s)l should align to the base requirements as laid out by the OCED Model prediction reporting template https://one.oecd.org/document/ENV/CBC/MONO(2023)32/ANN2/en/pdf.  Key considerations should include relevant information that supports or justifies the interpretation of the result.  Whether it is categorical active/ in active and inform on how the uncertainty related to the model prediction is defined, - is it quantitative or qualitative, whether the alert is present/ how often/ is the compound within the applicability domain. Final output should summarise findings -justify why findings maybe disgarded due to low confidence and the keys findings that will be addressed and/or followed up in subsequent NAMs relevant to the endpoint defined for the problem formulation. Large data sets may be generated (hundreds or thousands of models). They are difficult to interpret as such. Iterpretation becomes more robust, if additional generation is provided on model reliability, or applicability domain and on overlap of results from different models. Some models may also provide more explanatory output. All such informaton is beneficial for ranking and next steps. A transparent display is important/mandatory; naked excel files with loads of abbreviations are of little use.	Input for target interaction are only the query compound properties/structure. For RAx, source compounds are an additional input, together with a solid rationale why these source compounds have been selected.	H0002	 	 	BB011	
