num	id	result_type	name	category	description	method_type	method_link	input_for	next_node	next_yes	next_no
1	BB001_01	text	Problem Formulation	TASK	Enter a description of the problem formulation, including a clear assessment question	expert			2		
2	BB002_01	text	Relevant existing data	TASK	existing data	expert			3		
3	DP01EF_01	bool	Is the information sufficient	LOGICAL	justification					4	5
4	EXIT1	text	Risk assessment report	END	report						
5	DP02EF_01	bool	Is exposure scenario well defined	LOGICAL	justification					6	9
6	BB003_01	text	Definition of maximum exposure Emax	TASK	max exposure	expert					
7	DP03EF_01	bool	Is the TTC applicable	LOGICAL	justification					4	12
8	BB004_01	text	Consider wheter TTC may be applicable	TASK	TTC applicability	expert			0		
9	BB005_01	text	Identify use scenario	TASK	use scenario	expert			10		
10	BB006_01	text	Estimate external exposure	TASK	external exposure	expert			11,18		
11	BB007_01	text	Prioritise parameters using expert judgements	TASK	ranked parameters	expert			12		
12	BB008_01	value	Generate in vitro data for highly sensitive/uncertain parameters	TASK	PK parameters	invitro	NAM database	14	14		
13	BB009_01	value	Generate in silico parameters	TASK	PK parameters	insilico	internal	14	14		
14	BB010_01	value	Run PBPK model	TASK	PK results	insilico	NAM database	17	15,17		
15	BB011_01	value	Perform uncertainty and variability analysis	TASK	PK variability	insilico	internal		16		
16	BB012_01	value	Perform sensitivity analysis	TASK	?	insilico	?		18		
17	BB013_01	value	Generate estimates of highest test concentration	TASK	highest test conc	insilico	internal		20		
18	DP05EF_01	bool	Is the information sufficient?	LOGICAL	justification					4	0
19	BB014_01	value	Generate in silico predictions of hazard	TASK	hazard list	insilico	internal		20		
20	BB015_01	value	Generate HT in vitro data	TASK	hazard list	invitro	NAM database		21		
21	BB016_01	value	Integration of results	TASK	risk report	insilico	internal				
22	DP04EF_01	bool	Is a toxicological alert identified?	LOGICAL	justification					18	0
