id	label	result_type	name	category	description	method_type	method_link	next_node	next_yes	next_no
A0001	BB001_01	text	Problem formulation	TASK	Enter a description of the problem formulation, include the envisaged exposure scenario(s), the regulatory context, the compound definition, etc. Give an indication on the level/uncertainty limits of the desired information. If possible: specify the areas of toxicity (knowledge gap to be filled), the level of need for mechanistic understanding and potential exit points (sufficient information reached)	expert		A0002		
A0002	BB002_01	text	Relevant existing data for substance of interest?	TASK	Search for available physicochemical, toxicological, mechanistic and toxicokinetic data about this compound in existing data sources. Compile all available data on exposure levels. Provide a transparent information overview, based on these data. 	expert	https://www.ebi.ac.uk/chembl/,https://comptox.epa.gov/dashboard/	A0003		
A0003	DP01EF_01	bool	Information sufficient?	LOGICAL	Justify if existing data is sufficient for answering the question posed in the Problem Formulation	 			A0004	A0005
A0004	BB017_01	value	Derive Point-of-Departure POD	TASK	Compile all data from assays considered to be predictive of hazard. For each assay, determine concentration dependency of the effect, fit a function through the data points and determine the minimum concentration, at which hazard may be triggered (=BMC or BMCL). Give a rationale why and how this BMC has been chosen. Compile all BMCs and determine which of them is considered most relevant. This one is termed PoD. Give a rationale for the choice and indicate the uncertainty of the decision. Decide (and justify) whether a single PoD is chosen or whether multiple PoD are chosen. In the latter case decide and justify whehter the multiple PoD are collapsed to a a single value (± variance) is chosen, or whether work is continued with a distribution function of PoD	expert		Z0001		
Z0001	EXIT1	text	Risk assessment report	END	Risk assessment report					
A0005	DP02EF_01	bool	Is read-across applicable?	LOGICAL	Justify in the application of read-across can answer the question posed in the Problem Formulation				A0006	H0001,B0001,E0001
A0006	BB019_01	text	Perform read-across using existing data	TASK	Make use of existing data (in vivo, in vitro, etc.) to carry out read-across, using grouping or analogue approaches. Depending on the regulatory context the following guidelines could be useful (it )	in silico		A0007		
A0007	DP01EF_01	bool	Information sufficient?	LOGICAL	Justify if existing data is sufficient for answering the question posed in the Problem Formulation				A0004	A0008
A0008	BB020_01	value	Generate NAM data based on read-across hypothesis 	TASK	Consider how much additional information is needed to support the Rax hypothesis, concerning similar (extrapolable) (1) main effect (target-related toxicity); (2) effect on other targets; (3) toxicokinetic behaviour (e.g. metabolite formation, distribution, etc..). Compile NAM that would allow to derive the desired data or to increase the confidence that the Rax hypothesis is correct for this question (1-3). Perform NAM testing of source and target compounds, compile the data and provide a conclusion on whether the RAx hypothesis has been strengthened, confirmed or possibly disproved.	in vitro		A0009		
A0009	BB021_01	text	Integration of results	TASK	Analyze and integrate the results obtained in previous steps	expert		A0010		
