id	label	result_type	name	category	description	method_type	method_link	next_node	next_yes	next_no
A0001	BB001_01	text	Problem formulation	TASK	Enter a description of the problem formulation, including a clear assessment question	expert	a,b,c,d	A0002		
A0002	BB002_01	text	Relevant existing data for substance of interest?	TASK	Search for available data about this compound in existing data sources	expert	j,k	A0003		
A0003	DP01EF_01	bool	Information sufficient?	LOGICAL	Justify if existing data is sufficient for answering the question posed in the Problem Formulation	 	http://phi.upf.edu		A0004	A0005
A0004	BB017_01	value	Derive Point-of-Departure POD	TASK	Derive Point-of-Departure POD	expert		Z0001		
Z0001	EXIT1	text	Risk assessment report	END						
A0005	DP02EF_01	bool	Is read-across applicable?	LOGICAL	Justify in the application of read-accross can answer the question posed in the Problem Formulation				A0006	H0001,B0001,E0001
A0006	BB019_01	text	Perform read-across using existing data	TASK	Make us of existing data (in vivo, in vitro, etc.) to carry out read-acros. Depending on the regulatory framework, it is advisable to follow the official guidelines. For example, for ECHA, the RAAF guidance document, which can be found here: https://echa.europa.eu/documents/10162/13628/raaf_en.pdf/614e5d61-891d-4154-8a47-87efebd1851a 	in silico		A0007		
A0007	DP01EF_01	bool	Information sufficient?	LOGICAL	Justify if existing data is sufficient for answering the question posed in the Problem Formulation				A0004	A0008
A0008	BB020_01	value	Generate NAM data based on read-across hypothesis 	TASK	Generate NAM data based on read-across hypothesis (Hazard and ADME)	in vitro		A0009		
A0009	BB021_01	text	Integration of results	TASK	Analyze and integrate the results obtained in previous steps	expert		A0010		
A0010	DP01EF_01	bool	Information sufficient?	LOGICAL	Justify if existing data is sufficient for answering the question posed in the Problem Formulation				A0004	H0001,B0001,E0001
H0001	BB008_01	value	Generate in silico predictions of hazard	TASK		in silico		H0002,H0004		
H0002	BB009_01	value	Generate high-throughput in vitro data	TASK		in vitro		H0003		
H0003	BB010_01	text	Integration of results	TASK	Analyze and integrate the results obtained in previous steps	expert		H0009		
H0004	DP06EF_01	bool	Alert for genotoxicity, eye irritation, skin irritation or sensitization?	LOGICAL	Justify if existing data is sufficient for answering the question posed in the Problem Formulation				H0005	H0002
H0005	BB011_01	text	Defined approaches and/or dedicated tests to confirm or characterize alert	TASK		in vitro		H0006		
H0006	BB012_01	text	Integration of results	TASK	Analyze and integrate the results obtained in previous steps	expert		H0007		
H0007	DP07EF_01	bool	Information sufficient?	LOGICAL	Justify if existing data is sufficient for answering the question posed in the Problem Formulation				H0003	H0008
H0008	BB013_01	value	Perform dedicated tests for data gap filling	TASK		in vitro		H0009		
H0009	DP08EF_01	bool	Toxicological alters identified? AOPs triggered?	LOGICAL					H0010	H0011
H0010	DP09EF_01	bool	Information sufficient?	LOGICAL	Justify if existing data is sufficient for answering the question posed in the Problem Formulation				H0014	H0011
H0011	BB015_01	value	Generate medium-throughput in vitro toxicity data	TASK		in vitro		H0012		
H0012	BB016_01	text	Integration of results	TASK		expert		H0013		
H0013	DP09EF_01	bool	Information sufficient?	LOGICAL	Justify if existing data is sufficient for answering the question posed in the Problem Formulation				H0014	B0009
H0014	BB017_01	value	Derive Point-of-Departure POD	TASK		expert		X0001		
B0001	DP03EF_01	bool	Are ADME properties known?	LOGICAL					B0004	B0003
B0002	BB003_01	value	Generate basic set of in silico and in vitro ADME data	TASK		in silico		B0003		
B0003	BB004_01	value	Run PBPK model	TASK		in silico		B0004,E0005		
B0004	XXX_01	bool	Relevant metabolite formed?	LOGICAL					H0001	B0005
B0005	DP04EF_01	bool	Prediction of PBPK model acceptable?	LOGICAL					B0010	B0006
B0006	BB005_01	value	Generated data for additional ADME parameters	TASK		in vitro		B0007		
B0007	BB006_01	value	Run PBK model	TASK		in silico		B0008		
B0008	DP05EF_01	bool	Prediction of PBPK model acceptable?	LOGICAL					B0010	B0009
B0009	BB007_01	text	Consider other types of relevant testing	TASK		expert		Z0001		
B0010	BB014_01	value	Derive estimates of relevant test concentrations	TASK		expert		H0011		
E0001	BB022_01	text	Identify and specify user scenarios	TASK		expert		E0002		
E0002	DP10EF_01	bool	Is TTC applicable?	LOGICAL					E0008	E0003
E0003	BB023_01	value	Estimate external exposure	TASK		expert		E0004		
E0004	BB024_01	value	Determine maximum exposure Emax	TASK		expert		B0003,E0005		
E0005	BB028_01	value	Calculate internal exposure using Emax	TASK		expert		E0012		
E0006	BB029_01	value	Refine exposure estimate, for example dominant pathway	TASK		expert		E0007		
E0007	BB030_01	value	Calculate internal exposure, refined	TASK		expert		E0012		
E0008	BB023_01	value	Estimate external exposure	TASK		expert		E0008		
E0009	BB024_01	value	Determine maximum exposure Emax	TASK		expert		E0010		
E0010	BB025_01	text	Perform TTC approach	TASK		expert		E0011		
E0011	DP11EF_01	bool	Is Emax lower than TTC?	LOGICAL					Z0001	E0012
E0012	BB026_01	value	Refine estimation of Emax with further data	TASK		expert		E0013		
E0013	BB025_01	text	Perform TTC approach	TASK		expert		E0014		
E0014	DP11EF_01	bool	Is Emax lower than TTC?	LOGICAL					Z0001	E0003
X0001	BB018_01	text	Compare POD with exposure	TASK				X0002		
X0002	DP14EF_01	bool	Is the outcome acceptable?	LOGICAL					Z0001	X0003
X0003	DP12EF_01	bool 	Is deterministic refinement possible?	LOGICAL					X0006	X0004
X0004	DP13EF_01	bool	Is probabilistic refinement possible?	LOGICAL					X0006	X0005
X0005	BB032_01	text	Generate or collect data needed for probabilistic approaches	TASK		expert		X0006		
X0006	BB031_01	value	Calculate internal exposure, further refined	TASK		expert		X0001		
